id,label,lower_letter_count,upper_letter_count,digital_count,symbol_count
44630,0,0,0,0,0
45278,1,0,0,0,0
27216,0,2,2,9,0
100024,1,0,0,0,0
237043,0,0,0,10,0
57700,0,0,0,0,0
281429,0,0,1,10,0
62619,0,0,0,0,0
80689,1,0,0,0,0
21375,0,11,1,12,0
255658,0,0,0,0,0
117828,1,0,0,0,0
247743,0,0,2,9,0
245830,0,0,1,7,0
284281,0,0,0,0,0
50229,0,0,0,0,0
190255,0,1,6,17,3
283162,1,0,0,0,0
139253,0,0,0,10,0
154019,0,2,4,8,1
135775,0,0,1,9,0
42634,0,0,0,11,1
291263,1,0,0,0,0
269469,0,0,0,0,0
107662,0,1,1,10,0
198421,0,0,0,11,0
5095,1,0,1,8,8
235087,0,0,0,0,0
272321,0,0,1,10,0
14586,0,0,1,10,1
107532,0,0,0,0,0
146724,0,0,3,9,0
244919,0,0,4,7,1
131760,0,0,0,0,0
186177,0,0,0,12,0
263490,1,0,0,0,0
50332,0,6,2,11,1
66603,0,5,1,1,1
151532,0,0,0,7,0
143064,0,6,3,7,0
224531,0,1,2,20,1
235376,0,0,0,0,0
227750,0,0,2,10,0
267848,0,0,0,0,0
13013,0,0,0,0,0
128506,0,0,2,9,0
217503,0,0,0,1,0
280794,0,1,1,42,0
226756,0,0,0,0,0
219027,0,0,0,0,0
278132,0,0,2,9,0
115211,0,0,0,0,0
305019,1,0,0,0,0
78466,0,0,0,0,0
277601,0,0,0,0,0
167798,0,0,0,0,0
84160,0,0,0,0,0
262510,0,0,0,0,0
72616,0,0,0,0,0
145368,0,0,2,10,0
171886,1,0,0,0,0
155278,1,0,0,0,0
253839,0,4,1,8,3
230908,0,21,0,0,0
303135,0,0,2,17,0
269009,0,0,0,0,0
83051,0,0,0,0,0
283670,0,0,0,11,0
137357,0,0,2,10,0
208834,0,0,0,0,0
227088,0,3,1,9,4
214902,0,0,2,8,0
90640,1,1,0,0,0
293100,0,0,0,0,0
256820,0,0,0,0,0
74750,0,8,4,19,0
172062,0,0,0,11,0
221711,1,0,0,0,0
187549,0,1,0,11,0
114719,0,0,0,0,0
290523,0,0,0,0,0
259044,1,0,1,10,3
135570,0,0,0,0,0
254901,0,0,0,11,0
10328,0,0,0,0,0
284602,0,4,3,36,3
238701,0,1,1,10,0
152467,0,9,1,11,0
961,0,0,6,7,1
111977,0,0,0,0,0
70730,0,0,1,12,1
242193,0,0,4,10,4
9056,1,0,0,0,0
124411,0,0,0,0,0
206164,0,0,0,0,0
31981,0,0,0,0,0
307182,0,0,0,0,0
185973,0,18,0,10,0
305464,0,0,0,0,0
70699,0,0,0,0,0
134768,1,3,0,0,0
48797,0,0,1,10,0
73737,0,0,0,0,0
187350,0,0,0,11,1
297453,0,0,0,0,0
134277,0,0,0,11,0
207005,0,0,0,0,0
237645,0,0,0,0,0
122387,0,0,0,0,0
58649,1,0,1,0,4
119651,0,0,1,9,0
78392,0,0,5,6,0
169919,0,0,2,11,0
88006,0,0,2,22,0
12700,1,0,0,0,0
256061,1,0,0,0,0
571,0,0,2,9,0
269590,0,0,0,0,0
169440,0,0,0,0,0
136777,0,0,0,0,0
274364,0,0,2,9,0
59325,0,0,0,11,0
107061,0,0,0,0,0
35900,0,0,0,0,0
305082,1,0,0,0,0
277186,0,0,3,12,0
23489,1,0,0,0,0
172508,0,1,2,9,0
112723,1,0,0,0,0
120735,0,0,1,10,1
264161,0,0,1,8,0
250202,0,0,0,0,0
259656,1,0,0,0,0
148256,0,0,1,10,0
14755,0,0,0,19,1
116059,0,0,2,11,0
78181,0,0,0,18,0
171082,0,0,5,17,3
101645,0,0,0,0,0
150362,0,0,0,10,0
134062,0,0,1,10,0
79122,0,0,0,0,0
77391,0,1,2,9,0
207221,1,2,0,0,28
107218,0,0,0,2,0
105541,0,0,0,0,0
2281,0,0,0,0,0
33951,0,0,4,8,0
114327,0,0,0,0,0
272777,0,0,0,8,0
161559,0,0,0,0,0
242142,0,0,0,0,0
284811,0,0,2,9,0
53069,0,0,0,0,0
190047,0,0,0,0,0
73156,1,0,2,7,1
104369,0,0,0,0,0
55032,0,0,1,10,0
101897,0,11,2,9,0
135359,0,0,2,10,0
94319,1,0,0,0,0
48442,0,0,0,0,0
136125,0,0,0,0,0
284571,0,0,0,0,0
214396,0,0,0,0,0
202805,0,0,6,8,0
113309,0,0,0,0,0
309137,0,0,0,0,0
253029,1,0,0,2,0
7056,0,0,0,2,0
296896,0,0,0,0,0
108372,0,0,0,0,0
95528,1,0,0,0,0
109252,0,0,2,9,0
305984,0,0,1,17,2
144522,0,0,1,10,0
261154,0,0,0,0,0
204995,0,0,3,9,2
281015,0,1,1,10,0
202789,0,1,1,10,0
148346,0,0,0,0,0
20274,0,0,0,0,0
179684,0,0,0,0,0
197675,0,0,2,9,0
41341,1,0,0,0,0
34709,0,0,1,10,0
267921,0,0,0,0,0
212803,0,0,1,10,0
66015,0,0,0,0,0
121456,0,0,0,0,0
136442,0,1,1,10,0
293578,0,0,0,0,0
226213,0,0,0,0,0
3892,0,0,11,40,0
124736,1,0,0,0,0
182804,0,0,0,0,0
242996,1,0,0,0,0
271433,0,0,2,9,0
302211,0,0,0,0,0
51516,0,0,2,9,0
144208,0,0,0,0,0
121931,0,0,0,0,0
86116,0,0,0,11,0
26893,0,0,1,10,0
229954,1,0,1,0,4
269478,0,0,0,0,0
166162,0,0,0,0,0
105781,0,0,2,16,1
197341,1,0,0,0,0
64639,0,0,0,0,0
262801,0,0,0,0,0
29511,0,0,4,6,0
236767,0,0,0,0,0
282236,1,0,0,0,0
294565,0,0,1,10,0
14773,1,0,0,0,0
308224,1,0,3,7,1
86618,1,0,2,9,0
168037,0,0,2,6,1
243903,0,0,0,0,0
208675,1,0,2,9,0
230291,0,0,1,7,0
66734,0,0,0,0,0
150229,0,0,0,0,1
99990,0,0,0,0,0
122214,1,0,0,11,0
57661,0,0,0,0,0
133992,0,0,0,0,0
