train id,test id
127,305227
796,238380
873,138304
993,290978
1114,258221
1346,123895
2106,114491
2157,250151
2543,108100
2962,142675
3067,53967
3818,41761
4307,248282
4335,32472
4380,116948
4523,97863
4934,31798
5294,204710
5552,250574
5774,3901
6277,618
7147,249952
7191,5109
8240,1968
8256,150007
8906,121366
9089,7746
9700,82741
9726,48786
10372,248154
11204,85257
11336,74431
11475,66014
11616,98729
13043,161325
13178,141358
14488,213379
14553,293254
15790,123675
15872,252940
16192,296325
16238,93781
17069,143287
17893,200658
18131,36532
18424,99282
18450,35692
18513,37184
18880,304081
18987,107815
19148,164546
19240,149413
19408,40531
19653,187463
19863,133861
20314,82096
20903,128305
21217,80567
22794,70667
23444,189758
23510,149351
23613,143102
23682,116516
23868,30151
24349,137161
24830,158439
25094,168775
25979,188440
26022,42392
26320,244458
26625,275287
26708,144395
28282,198949
28595,101458
28604,88654
28868,169591
28886,218579
29057,288224
29979,256941
30533,60211
30880,249465
31991,135263
32074,240456
32214,251308
32439,223672
32768,249666
32879,215252
32983,94388
33498,196082
33679,123035
33803,264366
34283,111508
34359,256601
34431,230204
35309,63895
35447,30558
35479,235656
35623,80486
35910,182448
35965,96020
36263,281117
36787,17001
37195,110034
37459,245048
37473,210665
37822,104981
38476,126342
39382,188895
39905,182731
40373,156293
42272,159533
42361,116859
42735,248464
43145,54631
43986,291041
44133,99172
44231,144810
44692,208296
45245,174060
47012,17192
48621,160027
48659,217900
50272,281620
50895,156739
50901,25736
52209,144169
52494,287915
52911,195160
54165,111504
54536,99240
54665,136177
55339,47413
55518,233816
55997,125829
56032,55191
56414,247331
56466,94473
57154,286811
57329,233171
59117,234741
60236,280198
60252,306713
60450,270856
61614,277134
62754,140677
63343,169002
63833,171499
64005,162286
64039,188983
64106,67638
64559,11958
64576,83905
64987,203306
66602,252646
67231,242557
67632,177038
67899,46047
68044,96761
68192,220881
68590,192198
68642,41303
69174,60286
69837,51380
70838,218768
71236,162197
71251,204188
71394,204261
71829,102049
71954,289489
72912,81821
73022,66734
73290,305467
73798,83121
74038,152484
75097,179988
75098,14360
75514,267919
75600,107334
76962,183327
77215,66950
79360,101723
79618,33459
79665,176840
79720,241751
80395,4123
81136,152809
81355,98457
81658,91984
81840,119128
83010,69224
83019,200838
83050,291921
83339,62767
84170,75945
84546,130678
84683,275567
85337,57370
85999,286005
86049,13963
86124,108668
86669,20184
86799,135974
87351,215304
88527,268395
88599,119593
89524,247730
90349,207639
91339,163729
91735,238038
91906,83667
92432,130699
92488,210988
92656,305512
92980,257224
93567,58389
94302,109526
94326,270295
94503,155436
94747,226194
95672,45066
95713,127485
95830,250264
95850,217876
97255,171073
97717,213842
97762,184591
97807,1139
98044,279099
98463,242037
99457,107453
99700,139103
99741,106016
100201,185975
100375,32535
100619,241616
100807,100084
101071,302265
101229,289024
101611,101599
102200,113174
102241,218269
102667,103679
102680,178213
103333,75042
103569,292560
105686,306592
106472,264751
107208,784
107391,71924
107886,148354
108165,28347
108342,99703
108397,53882
108494,188242
108808,103700
109343,287468
109499,295208
109569,293298
109707,123554
109731,299953
110308,169055
110598,297470
110684,306026
110843,304643
110890,189376
111593,250470
111729,80846
112699,11843
112767,304575
113104,172364
113149,183922
113628,263366
113657,280579
113743,139666
113944,43698
114297,79123
114406,102016
115597,257778
116964,121341
117254,41346
117424,117413
117521,109874
117561,289927
118025,148992
118371,76424
118842,237995
120307,273513
120322,280864
120710,8258
121211,246803
121429,59130
121767,213913
122050,56810
122421,156792
122591,33036
122637,146754
123078,44488
123459,56732
123813,114841
123820,247941
123857,288756
124344,67561
124364,156934
125139,134627
125477,181452
125765,174542
126096,37135
126309,130817
126765,224144
126987,226863
127526,45974
128435,280890
128544,132732
128729,282795
129156,33543
129579,52041
129812,76192
129923,214194
129969,271382
130675,167902
131118,62531
131147,122754
132059,298486
132717,139349
133008,192518
133206,224077
133292,204611
133759,286279
134078,35005
134350,48967
134412,219393
134528,184377
134862,905
135528,83828
135972,142310
136548,252506
137243,110203
137403,114488
137626,153058
137760,7356
137956,221674
138019,229931
138036,122573
138041,45275
138516,67148
138562,96557
138712,199460
139680,77513
140290,223840
140364,158022
140560,178801
140720,59281
140805,39531
141081,52644
141237,214106
141324,79187
141457,215102
141747,130644
141858,60823
142013,121364
142658,231961
143405,153068
143649,141339
144443,177617
144724,27286
144858,63377
145061,115331
145687,130941
145894,275138
146599,127640
146618,51270
147112,213333
147540,219549
148041,247926
148433,49425
148560,141835
148931,300199
148944,37922
148973,188675
149063,9946
149258,59985
149392,221183
149896,5683
150080,206266
151692,44625
151858,237006
152445,103234
152612,50899
152762,119629
153103,213469
153432,300433
153526,75654
153769,297327
154385,6116
154894,268914
155808,71399
156952,288570
157156,290703
157894,295944
157935,189573
